place_id,lat,lon
BikePoints_1,51.529163,-0.10997
BikePoints_598,51.4945,-0.228188
BikePoints_323,51.523197,-0.083067
BikePoints_348,51.51217,-0.150481
BikePoints_61,51.497383,-0.089446
BikePoints_47,51.523342,-0.183846
BikePoints_730,51.492085,-0.229116
BikePoints_726,51.47505,-0.150908
BikePoints_793,51.52828,-0.119558
BikePoints_112,51.51581,-0.10527
BikePoints_92,51.498898,-0.10044
BikePoints_740,51.51093,-0.214594
BikePoints_522,51.52594,-0.036017
BikePoints_733,51.505424,-0.150817
BikePoints_135,51.52326,-0.104708
BikePoints_341,51.508102,-0.126021
BikePoints_799,51.4977,-0.137598
BikePoints_521,51.534138,-0.037366
BikePoints_565,51.521904,-0.063386
BikePoints_282,51.518677,-0.06111
BikePoints_711,51.483356,-0.216305
BikePoints_391,51.510662,-0.142345
BikePoints_857,51.51258,-0.115057
BikePoints_270,51.486343,-0.122492
BikePoints_162,51.517605,-0.121328
BikePoints_393,51.517334,-0.103604
BikePoints_474,51.541515,-0.038557
BikePoints_638,51.466633,-0.169821
BikePoints_121,51.518913,-0.156166
BikePoints_421,51.504044,-0.104778
BikePoints_675,51.46349,-0.182126
BikePoints_216,51.490944,-0.18119
BikePoints_619,51.473763,-0.19701
BikePoints_821,51.483505,-0.147714
BikePoints_39,51.52638,-0.07813
BikePoints_647,51.500355,-0.217515
BikePoints_122,51.521114,-0.078869
BikePoints_790,51.541794,-0.00481
BikePoints_738,51.475143,-0.187278
BikePoints_645,51.50173,-0.100292
BikePoints_245,51.485355,-0.142207
BikePoints_181,51.499413,-0.152317
BikePoints_683,51.465065,-0.16375
BikePoints_319,51.527023,-0.088542
BikePoints_189,51.531666,-0.109914
BikePoints_88,51.518585,-0.132053
BikePoints_577,51.52887,-0.047548
BikePoints_715,51.51563,-0.049067
BikePoints_621,51.460865,-0.187427
BikePoints_129,51.511898,-0.137043
BikePoints_716,51.515427,-0.023565
BikePoints_109,51.515633,-0.132328
BikePoints_769,51.47361,-0.191803
BikePoints_729,51.47894,-0.208485
BikePoints_527,51.503803,-0.215808
BikePoints_562,51.51746,-0.12335
BikePoints_77,51.52342,-0.124121
BikePoints_211,51.494644,-0.158105
BikePoints_22,51.522263,-0.114079
BikePoints_809,51.516277,-0.118272
BikePoints_93,51.53441,-0.109025
BikePoints_626,51.484386,-0.204815
BikePoints_523,51.51549,-0.013475
BikePoints_559,51.501392,-0.205991
BikePoints_349,51.51196,-0.142783
BikePoints_844,51.49844,-0.04915
BikePoints_161,51.492344,-0.141334
BikePoints_752,51.515118,-0.173712
BikePoints_29,51.513737,-0.193487
BikePoints_643,51.519043,-0.204764
BikePoints_780,51.474667,-0.183165
BikePoints_570,51.503082,-0.017676
BikePoints_612,51.469257,-0.141812
BikePoints_796,51.524,-0.126409
BikePoints_90,51.53302,-0.139174
BikePoints_462,51.541603,-0.138853
BikePoints_403,51.51689,-0.158249
BikePoints_48,51.512486,-0.099141
BikePoints_543,51.50959,-0.204666
BikePoints_687,51.4954,-0.061698
BikePoints_846,51.48224,-0.094284
BikePoints_188,51.516518,-0.164393
BikePoints_783,51.54031,-0.02163
BikePoints_244,51.516117,-0.128585
BikePoints_776,51.460335,-0.167029
BikePoints_128,51.49536,-0.185296
BikePoints_291,51.48484,-0.138089
BikePoints_586,51.490646,-0.014582
BikePoints_334,51.505043,-0.115851
BikePoints_338,51.511757,-0.119643
BikePoints_214,51.526836,-0.130504
BikePoints_537,51.51793,-0.067937
BikePoints_548,51.498386,-0.107913
